Customer Id,Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Name,Customer City,Customer Country,Customer Segment,Customer State,Department Name,Market,Order City,Order Country,Order Region,Order State,Product Card Id,Product Category Id,Product Name,Product Price,Shipping Mode,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Product Category Name,Order Status,Shipping date (DateOrders),product_popularity,product_profit_margin,product_avg_discount,customer_order_count,customer_total_spent,customer_avg_order_value,customer_fraud_history,recency_days,order_count_last_30d,total_spent_last_30d,time_since_last_order,is_new_customer,rush_order,product_value_category,unusual_quantity,high_discount_flag,negative_benefit,international_order,high_value_order,high_risk_combination,degree_centrality,betweenness_centrality,closeness_centrality,pagerank
12345,DEBIT,4,4,85.5,256.8,Advance shipping,0,Sporting Goods,Los Angeles,USA,Consumer,California,Fan Shop,US,Los Angeles,USA,West,California,1234,23,Nike Air Max,120.00,Standard Class,5678,10,0.083,1001,120.00,0.42,2,240.00,228.00,85.50,Sporting Goods,COMPLETE,2024-01-15,8500,0.35,0.08,5,1284.0,256.8,0,45,2,480.0,30,0,0,medium,0,0,0,0,0,0,0.0045,0.00012,0.38,0.000048
23456,DEBIT,3,3,120.3,892.5,Advance shipping,0,Electronics,New York,USA,Corporate,New York,Technology,US,New York,USA,East,New York,2345,45,Samsung Galaxy Tab,450.00,First Class,6789,15,0.033,1002,450.00,0.38,1,450.00,435.00,120.30,Electronics,COMPLETE,2024-01-18,12000,0.40,0.05,12,10710.0,892.5,0,28,3,1350.0,15,0,0,high,0,0,0,0,1,0,0.0089,0.00025,0.45,0.000068
34567,TRANSFER,6,4,-45.2,125.0,Shipping canceled,1,Apparel,Houston,USA,Consumer,Texas,Apparel,US,Houston,USA,South,Texas,3456,12,Generic T-Shirt,15.00,Standard Class,7890,8,0.533,1003,15.00,-0.15,5,75.00,69.00,-45.20,Apparel,SUSPECTED_FRAUD,2024-01-20,450,0.12,0.35,3,375.0,125.0,1,18,1,75.0,25,0,1,low,1,1,1,0,0,1,0.0156,0.00042,0.52,0.000095
45678,DEBIT,5,5,95.8,445.2,Advance shipping,0,Health & Beauty,Chicago,USA,Consumer,Illinois,Health,US,Chicago,USA,Central,Illinois,4567,34,Vitamins Pack,80.00,Second Class,8901,12,0.15,1004,80.00,0.45,3,240.00,228.00,95.80,Health & Beauty,COMPLETE,2024-01-22,6200,0.42,0.12,8,3561.6,445.2,0,35,2,480.0,28,0,0,medium,0,0,0,0,0,0,0.0067,0.00018,0.41,0.000052
56789,PAYMENT,7,4,-120.5,89.5,Late delivery,1,Electronics,Miami,USA,Home Office,Florida,Technology,US,Miami,USA,South,Florida,5678,45,Fake Headphones,25.00,Same Day,9012,5,0.2,1005,25.00,-0.32,8,200.00,190.00,-120.50,Electronics,SUSPECTED_FRAUD,2024-01-25,1200,0.08,0.45,2,179.0,89.5,1,12,2,200.0,18,0,1,low,1,1,1,0,0,1,0.0198,0.00055,0.58,0.000112
67890,DEBIT,4,4,156.8,1250.8,Advance shipping,0,Computers,San Francisco,USA,Corporate,California,Technology,US,San Francisco,USA,West,California,6789,56,Dell Laptop,850.00,First Class,1023,50,0.059,1006,850.00,0.48,1,850.00,800.00,156.80,Computers,COMPLETE,2024-01-28,15000,0.52,0.06,15,18762.0,1250.8,0,22,4,3400.0,12,0,0,high,0,0,0,0,1,0,0.0112,0.00032,0.48,0.000078
78901,TRANSFER,8,4,-85.0,55.0,Shipping on hold,1,Apparel,Denver,USA,Consumer,Colorado,Apparel,US,Denver,USA,West,Colorado,7890,12,Suspicious Jacket,35.00,Standard Class,1134,20,0.571,1007,35.00,-0.18,4,140.00,112.00,-85.00,Apparel,SUSPECTED_FRAUD,2024-02-01,320,0.10,0.48,1,55.0,55.0,0,5,1,140.0,0,1,1,low,1,1,1,0,0,1,0.0223,0.00068,0.62,0.000125
89012,DEBIT,3,3,78.5,334.2,Advance shipping,0,Home & Garden,Seattle,USA,Consumer,Washington,Garden,US,Seattle,USA,West,Washington,8901,78,Garden Tools,95.00,Second Class,1245,10,0.105,1008,95.00,0.38,2,190.00,171.00,78.50,Home & Garden,COMPLETE,2024-02-05,4500,0.36,0.10,6,2005.2,334.2,0,38,1,190.0,32,0,0,medium,0,0,0,0,0,0,0.0054,0.00015,0.39,0.000045
90123,PAYMENT,6,5,45.2,678.9,Late delivery,1,Sports,Boston,USA,Consumer,Massachusetts,Fan Shop,US,Boston,USA,East,Massachusetts,9012,23,Baseball Bat,65.00,Standard Class,1356,8,0.123,1009,65.00,0.28,2,130.00,119.60,45.20,Sports,COMPLETE,2024-02-08,5600,0.30,0.11,10,6789.0,678.9,0,42,2,260.0,35,0,0,medium,0,0,0,0,0,0,0.0078,0.00021,0.43,0.000058
10234,DEBIT,4,4,112.3,890.4,Advance shipping,0,Office Supplies,Atlanta,USA,Corporate,Georgia,Office,US,Atlanta,USA,South,Georgia,1013,89,Printer Paper,35.00,First Class,1467,15,0.429,1010,35.00,0.52,6,210.00,180.00,112.30,Office Supplies,COMPLETE,2024-02-10,7800,0.55,0.15,14,12465.6,890.4,0,25,3,630.0,20,0,0,medium,0,0,0,0,0,0,0.0095,0.00028,0.46,0.000065
